Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2013-02-11,SIA,891,HKG,SIN,1,19,2,35,false,,2013-02-11T12:30,2013-02-11T12:30,,,,,2013-02-11T16:20,2013-02-11T16:21,,,,,,,,,d7c2f47d-4c12-468c-ae84-0fecdca23bb0,30242dfb-68a4-4ee8-8055-f967ba273f38,7da61aa8-3d56-411b-8be5-50a198e86c60,0408c509-a410-4361-806b-eebecfea9bc1,,
2013-02-11,SIA,285,SIN,AKL,3,A11,I,,false,,2013-02-11T21:15,2013-02-11T21:24,,,,,2013-02-12T12:10,2013-02-12T12:03,,,,,,,,,61cff26f-80bc-4dc1-ab3e-d148eb3eec60,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,0b50fa2a-bab6-44c2-bcd8-678f40d15369,,
2013-02-13,ANZ,639,AKL,ZQN,D,,,,false,,2013-02-13T10:05,2013-02-13T10:05,,,,,2013-02-13T11:55,2013-02-13T11:53,Boeing 737-300,,,,,,,,c08f2ead-526d-4284-822f-4a73d1763b69,e2595c02-5a11-4091-84fb-ba83be3f9927,0b50fa2a-bab6-44c2-bcd8-678f40d15369,0684ec0e-277c-4ba5-9c6a-7e26d97e0584,,0da1b92a-3c44-446a-8b2d-7ce519400cef
2013-02-21,SIA,298,CHC,SIN,,,3,,false,,2013-02-21T11:55,2013-02-21T11:57,,,,,2013-02-21T17:45,2013-02-21T17:25,,,,,,,,,a1902cdd-7f5f-472e-a01d-2e945495966d,30242dfb-68a4-4ee8-8055-f967ba273f38,62e695b2-b084-4703-b1a7-5dec09396c9b,0408c509-a410-4361-806b-eebecfea9bc1,,
2013-02-21,SIA,2,SIN,HKG,3,A4,1,,false,,2013-02-21T17:50,2013-02-21T18:22,,2013-02-21T18:40,,2013-02-21T21:55,2013-02-21T21:45,2013-02-21T22:00,,,,,,,,,afcb1a32-1a97-42ce-bdd6-5f0ab358e29f,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,7da61aa8-3d56-411b-8be5-50a198e86c60,,
2013-07-01,CSN,329,CAN,YVR,,,M,,false,,2013-07-01T14:00,,2013-07-01T14:10,,2013-07-01T10:57,2013-07-01T20:06,2013-07-01T10:45,,,,,,,,,,f2b759a6-4e25-488c-8eeb-5d25417def01,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,
2013-07-31,CSN,330,YVR,CAN,M,,,,false,,2013-07-31T12:30,,2013-07-31T12:40,2013-07-31T13:32,2013-08-01T15:48,,2013-08-01T16:55,,,,,,,,,,19356a38-e303-41b2-b149-cb9d1ae79db5,255d4d33-d2aa-4a84-bc7d-0613c507151f,c71de46b-62e9-43fb-83e7-1f44a3a393fe,7436d9ad-c589-49cb-9578-7762e8598fdc,,
2014-08-02,KQA,883,CAN,NBO,,,1C,,false,,2014-08-02T22:55,2014-08-02T23:37,,2014-08-02T23:59,,2014-08-03T04:48,2014-08-03T05:25,2014-08-03T05:02,Boeing 777-300,,,,,,,,6d4e7c44-d004-4fc4-adb1-71692d515e89,a90ab660-a9f7-429a-a38e-2fcfb77d22da,7436d9ad-c589-49cb-9578-7762e8598fdc,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,,41adc260-cf8e-4245-a647-67b85d4348b6
2014-08-07,KQA,450,NBO,SEZ,1C,,I,,false,,2014-08-07T09:05,2014-08-07T09:49,,,,2014-08-07T13:39,2014-08-07T13:15,2014-08-07T13:46,Boeing 737-800,,,,,,,,7d704807-4ba7-4e83-9392-d1e5131c2797,a90ab660-a9f7-429a-a38e-2fcfb77d22da,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,1776ecfa-828f-46fb-8035-c571d9fa5d5f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2014-08-19,KQA,882,NBO,CAN,1C,,,,false,,2014-08-19T00:35,2014-08-19T00:58,,,,2014-08-19T16:55,2014-08-19T16:05,2014-08-19T17:07,Boeing 777-300,,,,,,,,e5d1fa8f-804c-48e4-b856-ec6417cc748c,a90ab660-a9f7-429a-a38e-2fcfb77d22da,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,7436d9ad-c589-49cb-9578-7762e8598fdc,,41adc260-cf8e-4245-a647-67b85d4348b6
2015-07-19,UAE,387,HKG,DXB,1,,3,,false,,2015-07-19T07:50,2015-07-19T08:11,,2015-07-19T08:36,2015-07-19T11:51,2015-07-19T11:51,2015-07-19T11:55,2015-07-19T12:02,Boeing 777-300 ER,,,,,,,,18163bd5-ddad-4135-8d3d-15adedf4c9b7,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,7da61aa8-3d56-411b-8be5-50a198e86c60,e8b51cb0-c41d-4224-b842-7f69655f8076,,78eac566-1ad0-4ded-9979-9510dfde05f2
2015-07-19,UAE,57,DXB,DUS,3,A9,,,false,,2015-07-19T14:55,2015-07-19T15:06,2015-07-19T15:32,2015-07-19T15:32,2015-07-19T19:48,2015-07-19T19:48,2015-07-19T19:45,2015-07-19T19:52,Boeing 777-300 ER,,,,,,,,c664015b-ed40-4d83-9cac-578015ba8570,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,e8b51cb0-c41d-4224-b842-7f69655f8076,5c465ccf-d921-4359-8387-34bd51abb926,,78eac566-1ad0-4ded-9979-9510dfde05f2
2015-12-25,TRA,6709,EIN,ATH,,,,,false,,2015-12-25T15:30,2015-12-25T15:33,2015-12-25T15:34,2015-12-25T15:34,2015-12-25T19:07,2015-12-25T19:07,2015-12-25T19:45,2015-12-25T19:10,Boeing 737-800,PHHSC,,,,,,,b84c768a-e072-4a8e-8181-677e1db35aee,1c06f466-992e-4f3e-9494-7e9111f05daf,5d770dca-bcee-4133-b829-c7b38c51387b,cf45cd09-2351-45e6-bee2-e05eb99b1673,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2015-12-31,AEE,353,JTR,ATH,,,,,false,,2015-12-31T11:20,2015-12-31T11:10,,,2015-12-31T11:50,2015-12-31T11:50,2015-12-31T12:05,2015-12-31T11:55,Airbus A320,SXDVX,,,,,,,ccd45a21-47b0-4581-998f-a4ab71193655,db42bdaa-aa16-41f2-8813-078287e6232d,78806921-d1a0-42ec-9e54-baf844e53334,cf45cd09-2351-45e6-bee2-e05eb99b1673,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-02-10,GWI,9750,DUS,VIE,,A48,,,false,,2016-02-10T13:10,,2016-02-10T13:25,2016-02-10T13:25,2016-02-10T14:37,2016-02-10T14:37,2016-02-10T14:45,,Airbus A319,DAGWK,,,,,,,2a633928-f913-4738-9f60-ba634f1e769e,66483e91-3989-4feb-8294-f2091d67427b,5c465ccf-d921-4359-8387-34bd51abb926,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2016-02-15,GWI,9751,VIE,DUS,3,F22,,,false,,2016-02-15T15:25,,2016-02-15T15:33,2016-02-15T15:33,2016-02-15T16:47,2016-02-15T16:47,2016-02-15T16:55,,Airbus A320,DAIQE,,,,,,,4d479bfe-100e-4d54-abe4-ad9f4bf8df48,66483e91-3989-4feb-8294-f2091d67427b,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,5c465ccf-d921-4359-8387-34bd51abb926,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-03-19,CPA,376,DUS,HKG,,A79,1,,false,,2016-03-19T12:35,2016-03-19T12:36,,2016-03-19T12:47,2016-03-20T06:34,2016-03-20T06:34,2016-03-20T06:55,2016-03-20T06:40,Boeing 777-300 ER,BKQG,,,,,,,4132f79d-a6bd-4b4b-9a0e-e28d206a6e19,8508d82c-f03a-4c99-88d8-46ede5aceb6d,5c465ccf-d921-4359-8387-34bd51abb926,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-04-02,CPA,379,HKG,DUS,1,36,,,false,,2016-04-02T00:50,2016-04-02T01:01,,2016-04-02T01:23,2016-04-02T07:01,2016-04-02T07:01,2016-04-02T07:10,2016-04-02T07:07,Boeing 777-300 ER,BKPD,,,,,,,2f2fe297-5f80-4be3-a22a-3f342200d9a0,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,5c465ccf-d921-4359-8387-34bd51abb926,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-04-15,SWR,1019,DUS,ZRH,,A40,,,false,,2016-04-15T14:50,2016-04-15T14:50,2016-04-15T15:10,2016-04-15T15:10,2016-04-15T16:09,2016-04-15T16:09,2016-04-15T16:10,2016-04-15T16:14,Embraer 190,HBJVO,,,,,,,20311a0d-6465-43fd-b140-11ceddd740ff,95ece959-d516-44be-a77e-9e82037886eb,5c465ccf-d921-4359-8387-34bd51abb926,a0039222-c7e3-46d5-b5a6-26fca3d8864b,,fb807099-ea21-44f1-afb3-388faab25ae3
2016-04-15,SWR,2596,ZRH,MLA,1,B33,,,false,,2016-04-15T17:15,2016-04-15T17:25,2016-04-15T17:34,2016-04-15T17:34,2016-04-15T19:25,2016-04-15T19:25,2016-04-15T19:30,2016-04-15T19:27,Airbus A320,HBJLQ,,,,,,,08634009-8139-4833-a122-499bae7afe5b,95ece959-d516-44be-a77e-9e82037886eb,a0039222-c7e3-46d5-b5a6-26fca3d8864b,84fae806-c7a3-412e-94df-c437c589589c,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-04-17,DLH,1977,MLA,MUC,,005,2,,false,,2016-04-17T12:10,2016-04-17T12:04,,2016-04-17T12:09,2016-04-17T14:06,2016-04-17T14:06,2016-04-17T14:30,2016-04-17T14:12,Airbus A320,DAIUR,,,,,,,b89562b3-49ce-43e5-843d-7eee9203bd2b,f5251aea-6a53-45b9-b762-9f6580de440e,84fae806-c7a3-412e-94df-c437c589589c,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-04-17,DLH,2018,MUC,DUS,2,G16,,A42,false,,2016-04-17T17:30,2016-04-17T17:29,2016-04-17T17:41,2016-04-17T17:41,2016-04-17T18:35,2016-04-17T18:35,2016-04-17T18:40,2016-04-17T18:40,Airbus A320,DAIPR,,,,,,,dbbf9898-ec36-4923-861f-e48fcd3b6a24,f5251aea-6a53-45b9-b762-9f6580de440e,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,5c465ccf-d921-4359-8387-34bd51abb926,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-06-21,CPA,376,DUS,HKG,,A79,1,,false,,2016-06-21T13:25,2016-06-21T13:37,,2016-06-21T13:58,2016-06-22T06:21,2016-06-22T06:21,2016-06-22T06:35,2016-06-22T06:24,Boeing 777-300 ER,BKPK,,,,,,,e4a8cc8b-1e9c-46c9-a7da-6b8376c84619,8508d82c-f03a-4c99-88d8-46ede5aceb6d,5c465ccf-d921-4359-8387-34bd51abb926,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-07-21,CPA,379,HKG,DUS,1,64,,,false,,2016-07-21T00:50,2016-07-21T00:55,,2016-07-21T01:08,2016-07-21T06:10,2016-07-21T06:10,2016-07-21T07:10,2016-07-21T06:16,Boeing 777-300 ER,BKPX,,,,,,,9902bcf4-77a8-4997-8da8-f4410d69f20a,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,5c465ccf-d921-4359-8387-34bd51abb926,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-07-31,DLH,77,DUS,FRA,,A40,1,A11,false,,2016-07-31T10:35,2016-07-31T10:33,2016-07-31T10:43,2016-07-31T10:43,2016-07-31T11:11,2016-07-31T11:11,2016-07-31T11:25,2016-07-31T11:19,Airbus A320,DAIUB,,,,,,,76938eba-8fc4-42b3-a1c3-5d13d72d6af4,f5251aea-6a53-45b9-b762-9f6580de440e,5c465ccf-d921-4359-8387-34bd51abb926,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-07-31,DLH,492,FRA,YVR,1,B25,I,D55,false,,2016-07-31T13:30,2016-07-31T13:55,2016-07-31T13:40,2016-07-31T14:16,2016-07-31T13:51,2016-07-31T14:29,2016-07-31T14:25,2016-07-31T14:36,Boeing 747-400,DABVS,,,,,,,56120445-7ec5-4f1b-b4fc-b0232f563e51,f5251aea-6a53-45b9-b762-9f6580de440e,9e8dd658-32ff-4277-acb3-8c2b5dc39431,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2016-08-09,DLH,493,YVR,FRA,I,D55,1,B20A,false,,2016-08-09T16:20,2016-08-09T16:34,2016-08-09T16:30,2016-08-09T16:49,2016-08-10T10:18,2016-08-10T10:28,2016-08-10T11:00,2016-08-10T10:40,Boeing 747-400,DABVZ,,,,,,,dd62e51e-9727-4e13-810c-5d83322e66ac,f5251aea-6a53-45b9-b762-9f6580de440e,c71de46b-62e9-43fb-83e7-1f44a3a393fe,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2016-08-10,DLH,78,FRA,DUS,1,B5,,A42,false,,2016-08-10T13:00,2016-08-10T13:24,,2016-08-10T13:43,2016-08-10T14:09,2016-08-10T14:09,2016-08-10T13:50,2016-08-10T14:13,Airbus A320,DAIPM,,,,,,,69daff6f-d786-4b43-8f4e-4c73ba6aee72,f5251aea-6a53-45b9-b762-9f6580de440e,9e8dd658-32ff-4277-acb3-8c2b5dc39431,5c465ccf-d921-4359-8387-34bd51abb926,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-10-12,VLG,2252,BCN,SVQ,1,B40,1,,false,,2016-10-12T10:20,2016-10-12T10:21,,2016-10-12T10:36,2016-10-12T11:56,2016-10-12T11:56,2016-10-12T11:55,2016-10-12T11:59,Airbus A320,ECLVT,,,,,,,3fc65e8f-d270-410e-a174-979e5d9f8fb7,85a84b64-63bd-4340-8659-19241f38a3ee,72d63683-9cc9-40da-9394-b2557edacb91,55138ed4-f7bf-405a-a6e4-84730c4bf31f,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-11-05,DLH,75,DUS,FRA,,A39,1,A16,false,,2016-11-05T08:20,2016-11-05T08:28,2016-11-05T08:42,2016-11-05T08:42,2016-11-05T09:10,2016-11-05T09:10,2016-11-05T09:15,2016-11-05T09:26,Airbus A320neo,DAINB,,,,,,,9fe192a5-b248-4eb3-a529-206649483c8c,f5251aea-6a53-45b9-b762-9f6580de440e,5c465ccf-d921-4359-8387-34bd51abb926,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2016-11-05,DLH,422,FRA,BOS,1,Z25,E,E7A,false,,2016-11-05T10:55,2016-11-05T11:04,2016-11-05T11:24,2016-11-05T11:24,2016-11-05T13:46,2016-11-05T13:46,2016-11-05T14:10,2016-11-05T13:50,Boeing 747-8,DABYH,,,,,,,e8b75b0b-edd2-48d1-bd8f-4982fe6fbd1f,f5251aea-6a53-45b9-b762-9f6580de440e,9e8dd658-32ff-4277-acb3-8c2b5dc39431,813ec62f-c303-44d9-a041-a4434d6fd652,,c1ae12ad-df82-4d84-9413-6ae1ff8ab769
2016-11-12,SWR,53,BOS,ZRH,E,,,,false,,2016-11-12T21:45,2016-11-12T21:45,2016-11-12T22:00,2016-11-12T22:00,2016-11-13T10:33,2016-11-13T10:40,2016-11-13T11:00,2016-11-13T10:45,Airbus A340-300,HBJMF,,,,,,,7ad64308-6e93-4231-9a0d-2f09eaaa4e9b,95ece959-d516-44be-a77e-9e82037886eb,813ec62f-c303-44d9-a041-a4434d6fd652,a0039222-c7e3-46d5-b5a6-26fca3d8864b,,2c9e7893-7be6-41cf-8cd1-56ebe0491126
2016-11-13,SWR,1018,ZRH,DUS,1,A56,,B91,false,,2016-11-13T12:50,2016-11-13T12:56,2016-11-13T13:13,2016-11-13T13:13,2016-11-13T14:13,2016-11-13T14:13,2016-11-13T14:10,2016-11-13T14:15,Fokker 100,HB-JVH,,,,,,,e0087e9b-1ce2-499f-a18b-cad685330936,95ece959-d516-44be-a77e-9e82037886eb,a0039222-c7e3-46d5-b5a6-26fca3d8864b,5c465ccf-d921-4359-8387-34bd51abb926,,c4e852ea-df1e-4992-b184-127a18f141c7
2016-12-24,EWG,1558,DUS,TFS,,A39,,,false,,2016-12-24T11:05,2016-12-24T11:20,,2016-12-24T11:33,2016-12-24T14:45,,2016-12-24T15:00,2016-12-24T14:47,Airbus A320,DAEWJ,,,,,,,4d44c909-222f-40b0-b6d8-60ce2ab05e09,2850de9b-7637-411a-ad35-e91346a41f0a,5c465ccf-d921-4359-8387-34bd51abb926,2c81e907-a011-4c95-830b-7f769e61336b,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-12-28,IBB,134,TFN,LPA,1,1,,,false,,2016-12-28T13:00,2016-12-28T13:12,,,,,2016-12-28T13:30,2016-12-28T13:47,ATR 72,,,,,,,,ed814229-2de0-40c6-90a8-abf6f35ee9ce,754d054f-c735-4629-9c7e-8abd8643a5aa,f2c23d34-bf26-466c-9e9c-d25c1ecedb82,fcf6fc74-a1e1-4602-adf3-dbef75191d85,,00069458-a1cb-42ac-889d-8c259cc8e679
2017-02-10,GWI,9770,DUS,PRG,,A33,2,,false,,2017-02-10T18:35,2017-02-10T18:44,,2017-02-10T18:56,2017-02-10T19:48,2017-02-10T19:48,2017-02-10T19:50,2017-02-10T19:52,Airbus A319,DAGWA,,,,,,,a017fc15-f68b-46d4-a71b-fa00f3405fa0,66483e91-3989-4feb-8294-f2091d67427b,5c465ccf-d921-4359-8387-34bd51abb926,ea2fa104-3d95-45c7-bdd1-7b9a8bced282,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2017-02-12,EWG,1777,PRG,DUS,2,D1,,B91,false,,2017-02-12T20:25,2017-02-12T20:56,,2017-02-12T21:08,2017-02-12T22:07,2017-02-12T22:07,2017-02-12T21:35,2017-02-12T22:11,Airbus A320,DAEWU,,,,,,,e8f34774-4822-4167-b35d-7e056af762a4,2850de9b-7637-411a-ad35-e91346a41f0a,ea2fa104-3d95-45c7-bdd1-7b9a8bced282,5c465ccf-d921-4359-8387-34bd51abb926,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-04-15,BEE,1400,DUS,LCY,,C52,,,false,,2017-04-15T07:50,2017-04-15T07:50,,2017-04-15T08:06,2017-04-15T08:09,2017-04-15T08:09,2017-04-15T08:20,2017-04-15T08:13,DHC-8-400 Dash 8Q,GJECE,,,,,,,86664283-3b48-4543-b729-d5093f896487,12ca9d27-c098-41cc-9588-f9463e88f952,5c465ccf-d921-4359-8387-34bd51abb926,038fea45-3bb9-415b-aa3b-cb61f4dc106e,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-04-20,BEE,1405,LCY,DUS,,,,,false,,2017-04-20T15:50,2017-04-20T15:42,,,2017-04-20T17:56,2017-04-20T17:56,2017-04-20T18:25,2017-04-20T18:00,DHC-8-400 Dash 8Q,GJEDW,,,,,,,972c4427-268d-423b-8063-6a227a765bdd,12ca9d27-c098-41cc-9588-f9463e88f952,038fea45-3bb9-415b-aa3b-cb61f4dc106e,5c465ccf-d921-4359-8387-34bd51abb926,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-06-22,CPA,376,DUS,HKG,,A79,1,,false,,2017-06-22T13:30,2017-06-22T14:02,,2017-06-22T14:21,2017-06-23T06:41,2017-06-23T06:41,2017-06-23T06:35,2017-06-23T06:43,Airbus A350-900,BLRC,,,,,,,5f1863d4-9e96-449a-becc-1855908480a9,8508d82c-f03a-4c99-88d8-46ede5aceb6d,5c465ccf-d921-4359-8387-34bd51abb926,7da61aa8-3d56-411b-8be5-50a198e86c60,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2017-07-29,FIN,70,HKG,HEL,1,24,2,32,false,,2017-07-29T00:25,2017-07-29T00:30,,2017-07-29T01:00,2017-07-29T05:36,2017-07-29T05:36,2017-07-29T06:00,2017-07-29T05:41,Airbus A350-900,OHLWB,,,,,,,b09ab6b4-6054-4789-a94a-fd2d331828c6,49e2db86-f4de-401f-b0e4-a3e80841af4c,7da61aa8-3d56-411b-8be5-50a198e86c60,561f2662-7b0f-4f72-b5bc-916f7b082f49,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2017-07-29,ICE,353,HEL,KEF,2,19,,,false,,2017-07-29T08:45,2017-07-29T08:42,,2017-07-29T08:50,2017-07-29T08:46,2017-07-29T08:46,2017-07-29T09:10,2017-07-29T08:52,Boeing 757-200,TFISZ,,,,,,,cce1814a-638c-42f3-8168-bb9ddacd70ff,7bc1146e-c607-4d41-9666-77fd2e062308,561f2662-7b0f-4f72-b5bc-916f7b082f49,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-08-12,FIN,658,OSL,HEL,Main,E8,2,25,false,,2017-08-12T18:45,2017-08-12T19:19,,2017-08-12T19:26,2017-08-12T21:32,2017-08-12T21:32,2017-08-12T21:05,2017-08-12T21:35,Airbus A321,OHLZC,,,,,,,799352a2-8e51-49a0-8a24-1d6bac532c63,49e2db86-f4de-401f-b0e4-a3e80841af4c,0b97593c-1091-40e5-b6c1-d10fe4678556,561f2662-7b0f-4f72-b5bc-916f7b082f49,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2017-08-14,ICE,353,HEL,KEF,2,18,,,false,,2017-08-14T08:45,2017-08-14T08:37,,2017-08-14T08:47,2017-08-14T09:01,2017-08-14T09:01,2017-08-14T09:10,2017-08-14T09:08,Boeing 757-200,TFISL,,,,,,,41a8545e-3aea-44d1-b570-40ef3dc110de,7bc1146e-c607-4d41-9666-77fd2e062308,561f2662-7b0f-4f72-b5bc-916f7b082f49,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-08-14,ICE,647,KEF,IAD,,,,,false,,2017-08-14T10:30,2017-08-14T10:33,2017-08-14T10:40,2017-08-14T10:45,2017-08-14T12:27,2017-08-14T12:37,2017-08-14T12:45,2017-08-14T13:01,Boeing 757-200,TFFIJ,,,,,,,4c2d91c2-3c15-44d7-afad-ae780d01260f,7bc1146e-c607-4d41-9666-77fd2e062308,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,519696f5-bda6-457c-ae4c-dd1cb07e20de,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-12-16,UAL,660,IAD,ORD,Main,D5,1,B2,false,,2017-12-16T10:10,2017-12-16T10:07,2017-12-16T10:24,2017-12-16T10:16,2017-12-16T11:00,2017-12-16T10:51,2017-12-16T11:09,2017-12-16T10:58,Airbus A320,N407UA,,,,,,,ed3b7dec-d644-49d7-8daf-d80eebb3858c,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,a5eff314-18e7-4c87-bd38-0131882f1b8d,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-12-16,UAL,895,ORD,HKG,1,C10,1,69,false,,2017-12-16T13:25,2017-12-16T13:20,2017-12-16T13:47,2017-12-16T13:43,2017-12-17T19:13,2017-12-17T19:18,2017-12-17T19:20,2017-12-17T19:23,Boeing 777-200 ER,N785UA,,,,,,,cb726190-bdd6-4cf1-b53b-1f9b8b419c43,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,7da61aa8-3d56-411b-8be5-50a198e86c60,,a0f171e1-86df-426a-8922-e460c0660ae6
2018-05-27,UAL,4922,IAD,EWR,Main,A6,A,23,false,,2018-05-27T12:30,2018-05-27T12:50,2018-05-27T12:40,2018-05-27T14:16,2018-05-27T13:20,2018-05-27T15:05,2018-05-27T14:03,2018-05-27T15:13,Embraer RJ145,N11181,O2TJM7,,,,,,ba9d5491-abea-4c73-92a9-74dd5bb4143c,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,4427d229-a1e2-4955-81fa-9b5c0f103f12,,6358f527-1221-47d3-9170-26351f84ac05
2018-05-27,UAL,70,EWR,AMS,C,120,Main,D47,false,,2018-05-27T17:35,2018-05-27T17:32,2018-05-27T17:46,2018-05-27T18:05,2018-05-28T06:03,2018-05-28T06:54,2018-05-28T07:15,2018-05-28T07:01,Boeing 767-400,N67058,O2TJM7,,,,,,f6516894-a4ae-4e86-9c4f-4d418c11396d,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,f671c076-61b7-4572-8abb-359aaadaafd4,,dae07e29-15b1-4f35-9552-d70888135843
2018-05-28,CPA,270,AMS,HKG,Main,,1,,false,,2018-05-28T13:10,2018-05-28T13:12,2018-05-28T13:36,2018-05-28T13:36,2018-05-29T06:14,2018-05-29T06:14,2018-05-29T06:20,2018-05-29T06:19,Boeing 777-300 ER,BKQB,O2TJM7,,,,,,6b82c7a5-0929-4f6d-80a4-9405defb1366,8508d82c-f03a-4c99-88d8-46ede5aceb6d,f671c076-61b7-4572-8abb-359aaadaafd4,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
